entity_id	status	effective	asserted_on	recorded	source_id
SSA:0010389	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010390	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010391	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010392	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010394	alive	1998		2026-07-28	BIGGS-SHEET
SSA:0010395	alive	1984		2026-07-28	BIGGS-SHEET
SSA:0010396	alive	1988		2026-07-28	BIGGS-SHEET
SSA:0010397	unknown	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010398	unknown	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010399	unknown	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010401	unknown	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010403	unknown	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010404	alive	1984		2026-07-28	BIGGS-SHEET
SSA:0010405	alive	2002		2026-07-28	BIGGS-SHEET
SSA:0010406	alive	2006		2026-07-28	BIGGS-SHEET
SSA:0010407	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010410	alive	2004		2026-07-28	BIGGS-SHEET
SSA:0010411	alive	2008		2026-07-28	BIGGS-SHEET
SSA:0010412	alive	1989		2026-07-28	BIGGS-SHEET
SSA:0010413	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010414	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010415	alive	2017		2026-07-28	BIGGS-SHEET
SSA:0010416	unknown	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010417	unknown	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010418	alive	1987		2026-07-28	BIGGS-SHEET
SSA:0010419	alive	1999		2026-07-28	BIGGS-SHEET
SSA:0010420	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010421	alive	2023		2026-07-28	BIGGS-SHEET
SSA:0010422	alive	2002		2026-07-28	BIGGS-SHEET
SSA:0010423	alive	2004		2026-07-28	BIGGS-SHEET
SSA:0010424	alive	2019		2026-07-28	BIGGS-SHEET
SSA:0010425	alive	2008		2026-07-28	BIGGS-SHEET
SSA:0010426	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010427	presumed_dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010428	presumed_dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010429	unknown	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010430	alive	1990		2026-07-28	BIGGS-SHEET
SSA:0010432	alive	2005		2026-07-28	BIGGS-SHEET
SSA:0010433	alive	2019		2026-07-28	BIGGS-SHEET
SSA:0010434	alive	2010		2026-07-28	BIGGS-SHEET
SSA:0010435	alive	2014		2026-07-28	BIGGS-SHEET
SSA:0010436	alive	2019		2026-07-28	BIGGS-SHEET
SSA:0010437	alive	1995		2026-07-28	BIGGS-SHEET
SSA:0010438	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010439	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010440	alive	2022		2026-07-28	BIGGS-SHEET
SSA:0010441	alive	1990		2026-07-28	BIGGS-SHEET
SSA:0010442	unknown	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010443	unknown	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010447	alive	1994		2026-07-28	BIGGS-SHEET
SSA:0010448	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010449	alive	1992		2026-07-28	BIGGS-SHEET
SSA:0010450	alive	2010		2026-07-28	BIGGS-SHEET
SSA:0010451	alive	2015		2026-07-28	BIGGS-SHEET
SSA:0010452	alive	2020		2026-07-28	BIGGS-SHEET
SSA:0010453	alive	1992		2026-07-28	BIGGS-SHEET
SSA:0010454	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010455	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010456	unknown	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010457	presumed_dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010458	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010459	alive	1989		2026-07-28	BIGGS-SHEET
