entity_id	ancestor_id	depth	ancestor_label	ancestor_kind	ancestor_rank
SSA:0002091	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002091	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002092	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002092	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002093	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002093	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002094	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002094	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002095	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002095	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002096	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002096	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002097	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002097	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002098	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002098	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002099	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002099	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002100	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002100	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002101	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002101	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002102	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002102	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002103	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002103	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002104	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002104	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002105	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002105	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002106	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002106	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002107	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002107	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002108	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002108	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002109	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002109	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002110	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002110	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002111	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002111	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002112	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002112	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002113	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002113	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002114	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002114	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002115	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002115	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002116	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002116	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002117	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002117	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002118	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002118	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002119	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002119	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002120	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002120	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002121	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002121	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002122	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002122	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002123	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002123	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002124	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002124	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002125	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002125	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002126	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002126	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002127	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002127	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002128	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002128	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002129	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002129	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002130	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002130	SSA:0000900	2	Orcinus orca	taxon	
SSA:0010000	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010000	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010000	SSA:0002000	1	T002s	group	matriline
SSA:0010001	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010001	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010001	SSA:0002000	1	T002s	group	matriline
SSA:0010002	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010002	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010002	SSA:0002000	1	T002s	group	matriline
SSA:0010003	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010003	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010003	SSA:0002000	1	T002s	group	matriline
SSA:0010004	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010004	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010004	SSA:0002000	1	T002s	group	matriline
SSA:0010005	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010005	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010005	SSA:0002000	1	T002s	group	matriline
SSA:0010006	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010006	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010006	SSA:0002000	1	T002s	group	matriline
SSA:0010007	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010007	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010007	SSA:0002000	1	T002s	group	matriline
SSA:0010008	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010008	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010008	SSA:0002001	1	T007s	group	matriline
SSA:0010009	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010009	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010009	SSA:0002001	1	T007s	group	matriline
SSA:0010010	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010010	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010010	SSA:0002001	1	T007s	group	matriline
SSA:0010011	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010011	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010011	SSA:0002001	1	T007s	group	matriline
SSA:0010012	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010012	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010012	SSA:0002001	1	T007s	group	matriline
SSA:0010013	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010013	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010013	SSA:0002001	1	T007s	group	matriline
SSA:0010014	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010014	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010014	SSA:0002001	1	T007s	group	matriline
SSA:0010015	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010015	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010015	SSA:0002002	1	T010s	group	matriline
SSA:0010016	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010016	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010016	SSA:0002002	1	T010s	group	matriline
SSA:0010017	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010017	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010017	SSA:0002002	1	T010s	group	matriline
SSA:0010018	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010018	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010018	SSA:0002003	1	T011s	group	matriline
SSA:0010019	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010019	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010019	SSA:0002003	1	T011s	group	matriline
SSA:0010020	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010020	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010020	SSA:0002004	1	T012s	group	matriline
SSA:0010021	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010021	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010021	SSA:0002005	1	T018s	group	matriline
SSA:0010022	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010022	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010022	SSA:0002006	1	T019s	group	matriline
SSA:0010023	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010023	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010023	SSA:0002006	1	T019s	group	matriline
SSA:0010024	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010024	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010024	SSA:0002006	1	T019s	group	matriline
SSA:0010025	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010025	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010025	SSA:0002007	1	T020s	group	matriline
SSA:0010026	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010026	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010026	SSA:0002008	1	T021s	group	matriline
SSA:0010027	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010027	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010027	SSA:0002009	1	T023s	group	matriline
SSA:0010028	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010028	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010028	SSA:0002009	1	T023s	group	matriline
SSA:0010029	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010029	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010029	SSA:0002009	1	T023s	group	matriline
SSA:0010030	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010030	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010030	SSA:0002009	1	T023s	group	matriline
SSA:0010031	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010031	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010031	SSA:0002009	1	T023s	group	matriline
SSA:0010032	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010032	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010032	SSA:0002009	1	T023s	group	matriline
SSA:0010033	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010033	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010033	SSA:0002009	1	T023s	group	matriline
SSA:0010034	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010034	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010034	SSA:0002009	1	T023s	group	matriline
SSA:0010035	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010035	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010035	SSA:0002009	1	T023s	group	matriline
SSA:0010036	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010036	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010036	SSA:0002009	1	T023s	group	matriline
SSA:0010037	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010037	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010037	SSA:0002010	1	T026s	group	matriline
SSA:0010038	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010038	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010038	SSA:0002010	1	T026s	group	matriline
SSA:0010039	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010039	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010039	SSA:0002011	1	T028s	group	matriline
SSA:0010040	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010040	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010040	SSA:0002011	1	T028s	group	matriline
SSA:0010041	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010041	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010041	SSA:0002011	1	T028s	group	matriline
SSA:0010042	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010042	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010042	SSA:0002011	1	T028s	group	matriline
SSA:0010043	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010043	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010043	SSA:0002011	1	T028s	group	matriline
SSA:0010044	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010044	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010044	SSA:0002011	1	T028s	group	matriline
SSA:0010045	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010045	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010045	SSA:0002011	1	T028s	group	matriline
SSA:0010046	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010046	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010046	SSA:0002011	1	T028s	group	matriline
SSA:0010047	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010047	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010047	SSA:0002011	1	T028s	group	matriline
SSA:0010048	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010048	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010048	SSA:0002011	1	T028s	group	matriline
SSA:0010049	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010049	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010049	SSA:0002011	1	T028s	group	matriline
SSA:0010050	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010050	SSA:0000900	3	Orcinus orca	taxon	
SSA:0010050	SSA:0002012	1	T030s	group	matriline
SSA:0010051	SSA:0000002	2	Bigg's	group	ecotype
SSA:0010051	SSA:0000900	3	Orcinus orca	taxon	
